entity,code,year,predicted_forest_cover
Guatemala,GTM,2030,-1863302.5586026465
Guinea,GIN,2030,-1561443.8060144582
Guyana,GUY,2030,-291343.7041021517
Honduras,HND,2030,-946184.2815397659
Hungary,HUN,2030,375150.4433070971
Iceland,ISL,2030,50796.77283207218
India,IND,2030,11193257.827311952
Indonesia,IDN,2030,-25602898.819787875
Iraq,IRQ,2030,26443.127400448484
Ireland,IRL,2030,428630.4194113699
Isle of Man,IMN,2030,-0.001061304736691462
Italy,ITA,2030,2416336.5687166294
Jamaica,JAM,2030,130483.2309727842
Kuwait,KWT,2030,4023.3907958759137
Kyrgyzstan,KGZ,2030,201875.3436228083
Latvia,LVA,2030,432430.1985378046
Liberia,LBR,2030,-1361650.996253538
Liechtenstein,LIE,2030,-0.001061304736691462
Lithuania,LTU,2030,478068.946043763
Madagascar,MDG,2030,-3010391.660586953
Malawi,MWI,2030,-1889931.9842249837
Maldives,MDV,2030,-0.001061304736691462
Mali,MLI,2030,-3281148.014869175
Martinique,MTQ,2030,6732.517730634354
Mauritania,MRT,2030,-244827.29913174384
Mauritius,MUS,2030,-6194.518031099904
Mayotte,MYT,2030,-6471.442563069693
Mexico,MEX,2030,-6871994.9736559875
Moldova,MDA,2030,116304.48409850162
Monaco,MCO,2030,-0.001061304736691462
Mongolia,MNG,2030,-257031.0877048694
Montenegro,MNE,2030,-0.001061304736691462
Morocco,MAR,2030,409534.1216430259
Mozambique,MOZ,2030,-9814184.895248463
Myanmar,MMR,2030,-15467333.508901734
Nauru,NRU,2030,-0.001061304736691462
Nepal,NPL,2030,455417.29471275513
Netherlands,NLD,2030,21919.51089193462
New Zealand,NZL,2030,441051.77369009046
Nicaragua,NIC,2030,-4359653.867518625
Niger,NER,2030,-993854.8725424059
Nigeria,NGA,2030,-7348559.378811264
North Korea,PRK,2030,-1172024.5152049707
Norway,NOR,2030,58669.53283188875
Panama,PAN,2030,-562197.8545855115
Papua New Guinea,PNG,2030,-773895.0442357371
Paraguay,PRY,2030,-15283603.789211418
Peru,PER,2030,-6199805.536815904
Poland,POL,2030,959688.8461448399
Portugal,PRT,2030,538859.6696636202
Qatar,QAT,2030,-0.001061304736691462
Romania,ROU,2030,1326464.0882166543
Russia,RUS,2030,16526145.419231638
San Marino,SMR,2030,-0.001061304736691462
Sao Tome and Principe,STP,2030,-9547.457094227015
Senegal,SEN,2030,-1799935.2230714096
Serbia,SRB,2030,55853.35859485729
Singapore,SGP,2030,980.5896610041465
Slovenia,SVN,2030,39122.41519795382
Somalia,SOM,2030,-3453625.709268297
South Africa,ZAF,2030,-1637941.0529950042
South Korea,KOR,2030,-404041.1011080268
Spain,ESP,2030,4193493.464333267
Sudan,SDN,2030,-7653324.568499591
Suriname,SUR,2030,-262946.4600127028
Sweden,SWE,2030,-310177.70835337276
Switzerland,CHE,2030,171400.72428599908
Syria,SYR,2030,204886.2356695495
Tanzania,TZA,2030,-16991080.866079822
Thailand,THA,2030,1678054.2915458218
Togo,TGO,2030,-188918.78479091963
Tokelau,TKL,2030,-0.001061304736691462
Tunisia,TUN,2030,83857.93833516812
Turkey,TUR,2030,3814841.8148396853
Uganda,UGA,2030,-1856183.1987923826
Ukraine,UKR,2030,389713.642840629
United Kingdom,GBR,2030,584651.6498532387
United States,USA,2030,15547997.41182206
Uruguay,URY,2030,1649185.6053057415
Uzbekistan,UZB,2030,1718255.4004351308
Vatican,VAT,2030,-0.001061304736691462
Venezuela,VEN,2030,-8253400.188353763
Vietnam,VNM,2030,7392765.078639552
World,OWID_WRL,2030,-251722667.80463582
Zambia,ZMB,2030,-3775269.7765351795
Zimbabwe,ZWE,2030,-2073075.3931725007
